S_micro	T_micro	diff	mA	mB	nA	nB
232000	-179381	62092	232000	-179381	1	1
232000	-177381	62015	232000	-177381	1	1
232000	-175381	62003	232000	-175381	1	1
232000	-173381	62055	232000	-173381	1	1
232000	-171381	62171	232000	-171381	1	1
232000	-169381	62352	232000	-169381	1	1
232000	-167381	62596	232000	-167381	1	1
232000	-165381	62902	232000	-165381	1	1
232000	-163381	63271	232000	-163381	1	1
232000	-161381	63700	232000	-161381	1	1
232000	-159381	64188	232000	-159381	1	1
232000	-157381	64735	232000	-157381	1	1
232000	-155381	65338	232000	-155381	1	1
232000	-153381	65997	232000	-153381	1	1
232000	-151381	66709	232000	-151381	1	1
232000	-149381	67472	232000	-149381	1	1
232000	-147381	68286	232000	-147381	1	1
232000	-145381	69148	232000	-145381	1	1
232000	-143381	70057	232000	-143381	1	1
232000	-141381	71010	232000	-141381	1	1
232000	-139381	72006	232000	-139381	1	1
232000	-137381	73044	232000	-137381	1	1
232000	-135381	74120	232000	-135381	1	1
232000	-133381	75235	232000	-133381	1	1
232000	-131381	76386	232000	-131381	1	1
232000	-129381	77571	232000	-129381	1	1
232000	-127381	78789	232000	-127381	1	1
232000	-125381	80039	232000	-125381	1	1
232000	-123381	81318	232000	-123381	1	1
232000	-121381	82627	232000	-121381	1	1
232000	-119381	83962	232000	-119381	1	1
232000	-117381	85324	232000	-117381	1	1
232000	-115381	86710	232000	-115381	1	1
232000	-113381	88120	232000	-113381	1	1
232000	-111381	89552	232000	-111381	1	1
232000	-109381	91005	232000	-109381	1	1
232000	-107381	92480	232000	-107381	1	1
234000	-261381	104354	234000	-261381	1	1
234000	-259381	102724	234000	-259381	1	1
234000	-257381	101108	234000	-257381	1	1
234000	-255381	99505	234000	-255381	1	1
234000	-253381	97917	234000	-253381	1	1
234000	-251381	96344	234000	-251381	1	1
234000	-249381	94788	234000	-249381	1	1
234000	-247381	93248	234000	-247381	1	1
234000	-245381	91726	234000	-245381	1	1
234000	-243381	90223	234000	-243381	1	1
234000	-241381	88739	234000	-241381	1	1
234000	-239381	87276	234000	-239381	1	1
234000	-237381	85834	234000	-237381	1	1
234000	-235381	84416	234000	-235381	1	1
234000	-233381	83021	234000	-233381	1	1
234000	-231381	81652	234000	-231381	1	1
234000	-229381	80308	234000	-229381	1	1
234000	-227381	78993	234000	-227381	1	1
234000	-225381	77707	234000	-225381	1	1
234000	-223381	76452	234000	-223381	1	1
234000	-221381	75229	234000	-221381	1	1
234000	-219381	74039	234000	-219381	1	1
234000	-217381	72886	234000	-217381	1	1
234000	-215381	71769	234000	-215381	1	1
234000	-213381	70691	234000	-213381	1	1
234000	-211381	69654	234000	-211381	1	1
234000	-209381	68660	234000	-209381	1	1
234000	-207381	67710	234000	-207381	1	1
234000	-205381	66807	234000	-205381	1	1
234000	-203381	65952	234000	-203381	1	1
234000	-201381	65147	234000	-201381	1	1
234000	-199381	64394	234000	-199381	1	1
234000	-197381	63695	234000	-197381	1	1
234000	-195381	63052	234000	-195381	1	1
234000	-193381	62466	234000	-193381	1	1
234000	-191381	61940	234000	-191381	1	1
234000	-189381	61473	234000	-189381	1	1
234000	-187381	61069	234000	-187381	1	1
234000	-185381	60728	234000	-185381	1	1
234000	-183381	60452	234000	-183381	1	1
234000	-181381	60240	234000	-181381	1	1
234000	-179381	60095	234000	-179381	1	1
234000	-177381	60015	234000	-177381	1	1
234000	-175381	60003	234000	-175381	1	1
