name	Dmax	r0	r1	r2	r3	r4	eps	z	chi2	k	maxQ	L1	BIC
ln_sin_theta12	11	0.25	0	-0.222222222222	0	0	-0.00555466633606	-0.555466633606	0.308543181049	2	9	0.472222222222	4.42741900592
ln_sin_theta12	11	0.333333333333	0	0	0.2	0	0.0114517833364	1.14517833364	1.31143341584	2	5	0.533333333333	5.03030924071
ln_sin_theta12	11	0.333333333333	0	0	0.222222222222	0	-0.0039514873427	-0.39514873427	0.156142522195	2	9	0.555555555556	4.27501834706
ln_sin_theta12	11	0.333333333333	0	0	0.2	0	0.0114517833364	1.14517833364	1.31143341584	2	10	0.533333333333	5.53030924071
ln_sin_theta12	11	0.333333333333	0	0	0.2	0	0.0114517833364	1.14517833364	1.31143341584	2	6	0.533333333333	5.13030924071
ln_sin_theta12	11	0.333333333333	0	0	0.222222222222	0	-0.0039514873427	-0.39514873427	0.156142522195	2	9	0.555555555556	4.27501834706
ln_sin_theta12	11	0.333333333333	0	0	0.2	0	0.0114517833364	1.14517833364	1.31143341584	2	10	0.533333333333	5.53030924071
ln_sin_theta12	11	0.285714285714	0	0	-0.125	0	0.00242729995433	0.242729995433	0.0589178506831	2	8	0.410714285714	4.07779367555
ln_sin_theta12	11	0.285714285714	0	0	-0.111111111111	0	-0.00719974422011	-0.719974422011	0.51836316835	2	9	0.396825396825	4.63723899322
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
