S_micro	T_micro	diff	mA	mB	nA	nB
225000	-130381	82716	225000	-130381	1	1
225000	-129381	83272	225000	-129381	1	1
225000	-128381	83836	225000	-128381	1	1
225000	-127381	84408	225000	-127381	1	1
225000	-126381	84988	225000	-126381	1	1
225000	-125381	85576	225000	-125381	1	1
225000	-124381	86171	225000	-124381	1	1
225000	-123381	86774	225000	-123381	1	1
225000	-122381	87384	225000	-122381	1	1
225000	-121381	88001	225000	-121381	1	1
225000	-120381	88625	225000	-120381	1	1
225000	-119381	89256	225000	-119381	1	1
225000	-118381	89894	225000	-118381	1	1
225000	-117381	90538	225000	-117381	1	1
225000	-116381	91188	225000	-116381	1	1
225000	-115381	91845	225000	-115381	1	1
225000	-114381	92508	225000	-114381	1	1
225000	-113381	93177	225000	-113381	1	1
225000	-112381	93852	225000	-112381	1	1
225000	-111381	94533	225000	-111381	1	1
225000	-110381	95220	225000	-110381	1	1
225000	-109381	95911	225000	-109381	1	1
225000	-108381	96609	225000	-108381	1	1
225000	-107381	97311	225000	-107381	1	1
225000	-106381	98019	225000	-106381	1	1
226000	-261381	109150	226000	-261381	1	1
226000	-260381	108370	226000	-260381	1	1
226000	-259381	107593	226000	-259381	1	1
226000	-258381	106820	226000	-258381	1	1
226000	-257381	106051	226000	-257381	1	1
226000	-256381	105285	226000	-256381	1	1
226000	-255381	104524	226000	-255381	1	1
226000	-254381	103766	226000	-254381	1	1
226000	-253381	103013	226000	-253381	1	1
226000	-252381	102264	226000	-252381	1	1
226000	-251381	101519	226000	-251381	1	1
226000	-250381	100779	226000	-250381	1	1
226000	-249381	100043	226000	-249381	1	1
226000	-248381	99312	226000	-248381	1	1
226000	-247381	98586	226000	-247381	1	1
226000	-246381	97864	226000	-246381	1	1
226000	-245381	97147	226000	-245381	1	1
226000	-244381	96436	226000	-244381	1	1
226000	-243381	95729	226000	-243381	1	1
226000	-242381	95028	226000	-242381	1	1
226000	-241381	94332	226000	-241381	1	1
226000	-240381	93642	226000	-240381	1	1
226000	-239381	92957	226000	-239381	1	1
226000	-238381	92278	226000	-238381	1	1
226000	-237381	91605	226000	-237381	1	1
226000	-236381	90938	226000	-236381	1	1
226000	-235381	90277	226000	-235381	1	1
226000	-234381	89623	226000	-234381	1	1
226000	-233381	88975	226000	-233381	1	1
226000	-232381	88333	226000	-232381	1	1
226000	-231381	87698	226000	-231381	1	1
226000	-230381	87070	226000	-230381	1	1
226000	-229381	86449	226000	-229381	1	1
226000	-228381	85835	226000	-228381	1	1
226000	-227381	85229	226000	-227381	1	1
226000	-226381	84630	226000	-226381	1	1
226000	-225381	84038	226000	-225381	1	1
226000	-224381	83454	226000	-224381	1	1
226000	-223381	82879	226000	-223381	1	1
226000	-222381	82311	226000	-222381	1	1
226000	-221381	81752	226000	-221381	1	1
226000	-220381	81201	226000	-220381	1	1
226000	-219381	80659	226000	-219381	1	1
226000	-218381	80125	226000	-218381	1	1
226000	-217381	79601	226000	-217381	1	1
226000	-216381	79086	226000	-216381	1	1
226000	-215381	78580	226000	-215381	1	1
226000	-214381	78083	226000	-214381	1	1
226000	-213381	77597	226000	-213381	1	1
226000	-212381	77120	226000	-212381	1	1
226000	-211381	76653	226000	-211381	1	1
226000	-210381	76197	226000	-210381	1	1
226000	-209381	75751	226000	-209381	1	1
226000	-208381	75316	226000	-208381	1	1
226000	-207381	74891	226000	-207381	1	1
226000	-206381	74478	226000	-206381	1	1
226000	-205381	74075	226000	-205381	1	1
226000	-204381	73685	226000	-204381	1	1
226000	-203381	73305	226000	-203381	1	1
226000	-202381	72938	226000	-202381	1	1
226000	-201381	72582	226000	-201381	1	1
226000	-200381	72238	226000	-200381	1	1
226000	-199381	71907	226000	-199381	1	1
226000	-198381	71588	226000	-198381	1	1
226000	-197381	71282	226000	-197381	1	1
226000	-196381	70988	226000	-196381	1	1
226000	-195381	70708	226000	-195381	1	1
226000	-194381	70440	226000	-194381	1	1
226000	-193381	70186	226000	-193381	1	1
226000	-192381	69945	226000	-192381	1	1
226000	-191381	69717	226000	-191381	1	1
226000	-190381	69504	226000	-190381	1	1
226000	-189381	69304	226000	-189381	1	1
226000	-188381	69117	226000	-188381	1	1
226000	-187381	68945	226000	-187381	1	1
226000	-186381	68787	226000	-186381	1	1
226000	-185381	68644	226000	-185381	1	1
226000	-184381	68514	226000	-184381	1	1
226000	-183381	68399	226000	-183381	1	1
226000	-182381	68298	226000	-182381	1	1
226000	-181381	68212	226000	-181381	1	1
226000	-180381	68140	226000	-180381	1	1
226000	-179381	68084	226000	-179381	1	1
226000	-178381	68041	226000	-178381	1	1
226000	-177381	68014	226000	-177381	1	1
226000	-176381	68001	226000	-176381	1	1
226000	-175381	68002	226000	-175381	1	1
226000	-174381	68019	226000	-174381	1	1
226000	-173381	68050	226000	-173381	1	1
226000	-172381	68096	226000	-172381	1	1
226000	-171381	68156	226000	-171381	1	1
226000	-170381	68231	226000	-170381	1	1
226000	-169381	68321	226000	-169381	1	1
226000	-168381	68425	226000	-168381	1	1
226000	-167381	68544	226000	-167381	1	1
226000	-166381	68676	226000	-166381	1	1
226000	-165381	68824	226000	-165381	1	1
226000	-164381	68985	226000	-164381	1	1
226000	-163381	69160	226000	-163381	1	1
226000	-162381	69350	226000	-162381	1	1
226000	-161381	69553	226000	-161381	1	1
226000	-160381	69770	226000	-160381	1	1
226000	-159381	70001	226000	-159381	1	1
