S_micro\tT_micro\tdiff\tbasin
S_micro	T_micro	diff	0
278000	-193887	23998	0
278000	-190887	21854	0
278000	-187887	19932	0
278000	-184887	18302	0
278000	-181887	17048	0
278000	-178887	16258	0
278000	-175887	16000	0
278000	-172887	16300	0
278000	-169887	17128	0
278000	-166887	18413	0
278000	-163887	20068	0
278000	-160887	22009	0
278000	-157887	24167	0
278000	-154887	26490	0
278000	-151887	28938	0
278000	-148887	31481	0
278000	-145887	34099	0
278000	-142887	36775	0
278000	-139887	39498	0
278000	-136887	42259	0
278000	-133887	45050	0
278000	-130887	47866	0
278000	-127887	50703	0
278000	-124887	53558	0
278000	-121887	56428	0
278000	-118887	59311	0
278000	-115887	62205	0
278000	-112887	65109	0
278000	-109887	68021	0
278000	-106887	70940	0
281000	-256887	77590	0
281000	-253887	74895	0
281000	-250887	72224	0
281000	-247887	69579	0
281000	-244887	66964	0
281000	-241887	64384	0
281000	-238887	61840	0
281000	-235887	59340	0
281000	-232887	56888	0
281000	-229887	54491	0
281000	-226887	52156	0
281000	-223887	49620	0
281000	-220887	46731	0
281000	-217887	43857	0
281000	-214887	41002	0
281000	-211887	38169	0
281000	-208887	35363	0
281000	-205887	32591	0
281000	-202887	29864	0
281000	-199887	27195	0
281000	-196887	24602	0
281000	-193887	22112	0
281000	-190887	19764	0
281000	-187887	17615	0
281000	-184887	15747	0
281000	-181887	14270	0
281000	-178887	13316	0
281000	-175887	13000	0
281000	-172887	13367	0
281000	-169887	14365	0
281000	-166887	15875	0
281000	-163887	17768	0
281000	-160887	19934	0
281000	-157887	22295	0
281000	-154887	24794	0
281000	-151887	27394	0
281000	-148887	30068	0
281000	-145887	32799	0
281000	-142887	35573	0
281000	-139887	38381	0
281000	-136887	41216	0
281000	-133887	44073	0
281000	-130887	46948	0
281000	-127887	49838	0
281000	-124887	52740	0
281000	-121887	55652	0
281000	-118887	58573	0
281000	-115887	61502	0
281000	-112887	64437	0
281000	-109887	67378	0
281000	-106887	70325	0
284000	-256887	76344	0
284000	-253887	73603	0
284000	-250887	70883	0
284000	-247887	68187	0
284000	-244887	65517	0
284000	-241887	62876	0
284000	-238887	60270	0
284000	-235887	57701	0
284000	-232887	55176	0
284000	-229887	52701	0
284000	-226887	50284	0
284000	-223887	47932	0
284000	-220887	45656	0
284000	-217887	43064	0
284000	-214887	40152	0
284000	-211887	37254	0
284000	-208887	34373	0
284000	-205887	31515	0
284000	-202887	28686	0
284000	-199887	25895	0
284000	-196887	23157	0
284000	-193887	20492	0
284000	-190887	17933	0
284000	-187887	15533	0
284000	-184887	13378	0
284000	-181887	11604	0
284000	-178887	10408	0
284000	-175887	10000	0
284000	-172887	10473	0
284000	-169887	11720	0
284000	-166887	13529	0
284000	-163887	15707	0
284000	-160887	18121	0
284000	-157887	20690	0
284000	-154887	23361	0
284000	-151887	26104	0
284000	-148887	28898	0
284000	-145887	31729	0
284000	-142887	34590	0
284000	-139887	37471	0
284000	-136887	40371	0
284000	-133887	43284	0
284000	-130887	46208	0
284000	-127887	49141	0
284000	-124887	52082	0
284000	-121887	55029	0
284000	-118887	57981	0
284000	-115887	60939	0
284000	-112887	63900	0
284000	-109887	66865	0
284000	-106887	69832	0
287000	-256887	75197	0
287000	-253887	72413	0
287000	-250887	69646	0
287000	-247887	66900	0
287000	-244887	64176	0
287000	-241887	61478	0
287000	-238887	58810	0
287000	-235887	56175	0
287000	-232887	53578	0
287000	-229887	51026	0
287000	-226887	48524	0
287000	-223887	46083	0
287000	-220887	43711	0
287000	-217887	41420	0
287000	-214887	39225	0
287000	-211887	36563	0
287000	-208887	33623	0
287000	-205887	30695	0
287000	-202887	27783	0
287000	-199887	24891	0
287000	-196887	22028	0
287000	-193887	19207	0
287000	-190887	16450	0
287000	-187887	13794	0
287000	-184887	11312	0
287000	-181887	9146	0
287000	-178887	7571	0
287000	-175887	7000	0
287000	-172887	7660	0
287000	-169887	9293	0
287000	-166887	11491	0
287000	-163887	13990	0
287000	-160887	16655	0
287000	-157887	19418	0
287000	-154887	22243	0
287000	-151887	25108	0
287000	-148887	28002	0
287000	-145887	30915	0
287000	-142887	33844	0
287000	-139887	36785	0
287000	-136887	39734	0
287000	-133887	42690	0
287000	-130887	45652	0
287000	-127887	48619	0
287000	-124887	51590	0
287000	-121887	54563	0
287000	-118887	57540	0
287000	-115887	60519	0
287000	-112887	63500	0
287000	-109887	66482	0
287000	-106887	69466	0
290000	-256887	74154	0
290000	-253887	71329	0
290000	-250887	68518	0
290000	-247887	65725	0
290000	-244887	62951	0
290000	-241887	60198	0
290000	-238887	57470	0
290000	-235887	54770	0
290000	-232887	52104	0
290000	-229887	49475	0
290000	-226887	46891	0
290000	-223887	44360	0
290000	-220887	41890	0
290000	-217887	39494	0
290000	-214887	37186	0
290000	-211887	34983	0
290000	-208887	32906	0
290000	-205887	30153	0
290000	-202887	27182	0
290000	-199887	24219	0
290000	-196887	21266	0
290000	-193887	18328	0
290000	-190887	15415	0
290000	-187887	12541	0
290000	-184887	9745	0
290000	-181887	7117	0
290000	-178887	4933	0
290000	-175887	4001	0
290000	-172887	5068	0
290000	-169887	7305	0
290000	-166887	9952	0
290000	-163887	12756	0
290000	-160887	15633	0
290000	-157887	18549	0
290000	-154887	21488	0
290000	-151887	24442	0
290000	-148887	27406	0
290000	-145887	30377	0
290000	-142887	33353	0
290000	-139887	36333	0
290000	-136887	39317	0
290000	-133887	42302	0
290000	-130887	45289	0
290000	-127887	48278	0
290000	-124887	51269	0
290000	-121887	54260	0
290000	-118887	57252	0
290000	-115887	60245	0
290000	-112887	63239	0
290000	-109887	66233	0
290000	-106887	69228	0
293000	-256887	73218	0
293000	-253887	70356	0
293000	-250887	67505	0
293000	-247887	64668	0
293000	-244887	61846	0
293000	-241887	59042	0
293000	-238887	56258	0
293000	-235887	53497	0
293000	-232887	50764	0
293000	-229887	48062	0
293000	-226887	45398	0
293000	-223887	42778	0
293000	-220887	40211	0
293000	-217887	37709	0
293000	-214887	35284	0
293000	-211887	32954	0
293000	-208887	30740	0
293000	-205887	28670	0
293000	-202887	26776	0
293000	-199887	23907	0
293000	-196887	20910	0
293000	-193887	17914	0
293000	-190887	14920	0
293000	-187887	11928	0
293000	-184887	8943	0
293000	-181887	5971	0
293000	-178887	3055	0
293000	-175887	1006	0
293000	-172887	3269	0
293000	-169887	6194	0
293000	-166887	9167	0
293000	-163887	12154	0
293000	-160887	15146	0
293000	-157887	18140	0
293000	-154887	21136	0
293000	-151887	24133	0
293000	-148887	27131	0
293000	-145887	30129	0
293000	-142887	33128	0
293000	-139887	36126	0
293000	-136887	39125	0
293000	-133887	42124	0
293000	-130887	45124	0
293000	-127887	48123	0
293000	-124887	51122	0
293000	-121887	54122	0
293000	-118887	57121	0
293000	-115887	60121	0
293000	-112887	63120	0
293000	-109887	66120	0
293000	-106887	69120	0
296000	-256887	72395	0
296000	-253887	69499	0
296000	-250887	66612	0
296000	-247887	63735	0
296000	-244887	60870	0
296000	-241887	58018	0
296000	-238887	55183	0
296000	-235887	52365	0
296000	-232887	49569	0
296000	-229887	46799	0
296000	-226887	44058	0
296000	-223887	41354	0
296000	-220887	38693	0
296000	-217887	36085	0
296000	-214887	33543	0
296000	-211887	31083	0
296000	-208887	28725	0
296000	-205887	26498	0
296000	-202887	24437	0
296000	-199887	22587	0
296000	-196887	20982	0
296000	-193887	17998	0
296000	-190887	15020	0
296000	-187887	12054	0
296000	-184887	9109	0
296000	-181887	6217	0
296000	-178887	3512	0
296000	-175887	2003	0
296000	-172887	3700	0
296000	-169887	6431	0
296000	-166887	9329	0
296000	-163887	12277	0
296000	-160887	15244	0
296000	-157887	18223	0
296000	-154887	21207	0
296000	-151887	24195	0
296000	-148887	27186	0
296000	-145887	30179	0
296000	-142887	33173	0
296000	-139887	36168	0
296000	-136887	39164	0
296000	-133887	42160	0
296000	-130887	45157	0
296000	-127887	48154	0
296000	-124887	51152	0
296000	-121887	54149	0
296000	-118887	57148	0
296000	-115887	60146	0
296000	-112887	63144	0
296000	-109887	66143	0
296000	-106887	69141	0
299000	-256887	71689	0
299000	-253887	68763	0
299000	-250887	65843	0
299000	-247887	62931	0
299000	-244887	60027	0
